iter	Passed	Remaining
921	4497	380
922	4500	375
923	4503	370
924	4506	365
925	4509	360
926	4510	355
927	4513	350
928	4515	345
929	4517	340
930	4519	334
931	4521	329
932	4523	324
933	4525	319
934	4528	314
935	4530	309
936	4538	305
937	4540	935	938	4541	936	939	4543	937	940	4545	938	941	4547	939	942	4549	940	943	4550	941	944	4552	942	945	4553	943	946	4555	944	947	4556	945	948	4558	946	949	4560	947	950	4561	948	951	4563	949	952	4564	950	953	4566	951	954	4568	952	955	4570	953	956	4571	954	957	4573	955	958	4575	956	959	4576	957	960	4578	958	961	4580	959	962	4582	960	963	4584	961	964	4586	962	965	4587	963	966	4589	964	967	4591	965	96968	4630	148
969	4635	143
970	4638	138
971	4640	133
972	4642	128
973	4644	123
974	4645	119
975	4647	114
976	4648	109
977	4650	104
978	4652	99
979	4653	94
980	4655	90
981	4656	85
982	4658	80
983	4660	75
984	4661	70
985	4663	66
986	4664	61
987	4666	56
988	4667	51
989	4669	47
990	4671	42
991	4672	37
992	4674	32
993	4675	28
994	4677	23
995	4678	18
996	4680	14
997	4682	9
998	4683	4
999	4684	0
997	4614	9
998	4616	4
999	4617	0
